Прізвище;Ім’я;По батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Твердохліб;Роман;Богодарович;Чоловік;23-08-1996;Хімік;селище Ірміно;провулок Асєєва Юрія, буд. 254 кв. 4, Сміла, 24408;063 804-24-31;zarubaiaryna@example.net
Овсієнко;Амвросій;Парменович;Чоловік;12-04-1966;Провізор;селище Городенка;парк Лінія 39-та, буд. 56 кв. 3, Шумськ, 72862;364-92-04;vdurdynets@example.com
Гайденко;Анжела;Ростиславівна;Жінка;03-07-1943;Історик;хутір Вільнянськ;провулок 6-та Лінія 6-й ст. Люстдорфської дороги, буд. 41 кв. 293, Ізюм, 11034;+380 (11) 741-21-55;heorhiiokhrymovych@example.org
Носенко;Азар;Русланович;Чоловік;30-04-1957;Мірошник;селище Остер ;узвіз Травневий, буд. 621 кв. 3, Іловайськ, 32973;404 48 04;valentynshvachka@example.com
Тригуб;Симон;Іллйович;Чоловік;19-05-2006;Мікробіолог;місто Миколаїв;парк Новий, буд. 34, Ніжин, 75715;+380 (06) 380-86-56;zorian22@example.net
Вдовиченко;Наталія;Леонтіївна;Жінка;15-05-1947;Патологоанатом;селище Полтава;набережна Госпітальний, буд. 590 кв. 1, Суми, 87301;+380 48 272 71 21;liaremko@example.net
Охріменко;Ярослава;Васильівна;Жінка;03-05-1946;Паралегал;селище Новоукраїнка;парк Глазунова, буд. 566 кв. 1, Новоселиця, 15440;+380 40 672 73 63;ostapzaporozhets@example.com
Михайличенко;Маруся;Германівна;Жінка;31-01-2004;Складальник;село Соснівка ;набережна Амбулаторний 2-й, буд. 81, Добропілля, 46381;+380 (02) 835-45-11;samoilenkoviktoriia@example.org
Андрейко;Симон;Костянтинович;Чоловік;09-01-1993;Мікробіолог;місто Красноперекопськ;узвіз Платанова, буд. 08, Острог, 10228;+380 77 693-49-78;markorebryk@example.org
Зарудний;Борислав;Демʼянович;Чоловік;10-03-1956;Хореограф;місто Енергодар;узвіз Василя Кандинського 1-й, буд. 4, Сорокине, 60645;012 193 25 92;ztsushko@example.net
Рак;Едуард;Яківович;Чоловік;09-10-1947;Фотограф;селище Ічня;узвіз Естонська, буд. 058, Судова Вишня, 64688;022 333 94 62;gsavenko@example.com
Овсієнко;Валентин;Германович;Чоловік;16-11-2002;Бізнесмен;село Нетішин;узвіз Єфімова, буд. 66 кв. 8, Волочиськ, 06604;256 91 15;heorhii41@example.com
Верхола;Захар;Августинович;Чоловік;09-05-1970;Бізнесмен;хутір Долинська;парк Михайла Жванецького, буд. 5 кв. 26, Кіцмань, 78572;082 547 41 82;vladyslavzabashta@example.com
Сич;Павло;Олександрович;Чоловік;15-01-1949;Біолог;місто Шаргород;проспект Сухолиманна, буд. 574 кв. 89, Роздільна, 51051;+380 36 845-51-14;jiashchenko@example.com
Дробаха;Григорій;Артемович;Чоловік;04-05-1960;Хореограф;село Берестечко;площа Пляжна, буд. 12 кв. 194, Вашківці, 15961;004 060 38 54;simashkevycharkadii@example.com
Голик;Тимофій;Валентинович;Чоловік;19-12-1961;Фотограф;хутір Одеса;вулиця Красний, буд. 1 кв. 1, Борзна, 57593;746 03 72;klavdiia36@example.org
Артим;Тарас;Тимофійович;Чоловік;18-02-1998;Гінеколог;хутір Боково-Хрустальне;шосе Хаджибейський 1-й, буд. 2, Слов'янськ, 12107;030 988-32-64;marianashynkarenko@example.net
Примаченко;Мілена;Святославівна;Жінка;05-08-1960;Гінеколог;місто Чорнобиль;провулок Мельницька, буд. 2, Генічеськ, 25151;+380 25 516 48 42;iakulenko@example.org
Філіпенко;Мартин;Альбертович;Чоловік;28-10-1941;Няня;місто Верхньодніпровськ;вулиця Віри Інбер, буд. 9 кв. 4, Родинське, 06345;375-89-61;iaroslavzinkevych@example.com
Дзиндра;Володимир;Степанович;Чоловік;18-02-1944;Льотчик;село Тячів;проспект Балтський 7-й, буд. 920, Ворожба, 44999;+380 01 520-35-62;danyliukleonid@example.com
Забарний;Аврелій;Аркадійович;Чоловік;19-05-2005;Математик;село Богодухів;парк Зоринська, буд. 7, Нова Одеса, 49990;+380 76 985-39-33;adavydenko@example.org
Бабиченко;Павло;Ростиславович;Чоловік;08-01-1991;Геофізик;село Дебальцеве;шосе Данькевича, буд. 9, Чернівці, 21744;+380 57 598-28-17;drobakhaustym@example.net
Ісаєнко;Кирило;Амвросійович;Чоловік;09-02-1962;Лікар;селище Роздільна;набережна Університетський, буд. 68 кв. 4, Хмільник, 56460;+380 52 411-88-56;iosyp15@example.net
Артеменко;Охрім;Григорійович;Чоловік;18-01-1943;Локсмайстер;селище Часів Яр;площа Лінія 48-ма, буд. 5 кв. 421, Ужгород, 86998;286 05 77;khudobiaklevko@example.org
Палій;Лариса;Парменівна;Жінка;24-01-1996;Різноробочий;селище Долинська;парк 2-й Академічний тупик, буд. 3, Шостка, 72729;849-53-29;rakdan@example.org
Макаренко;Мирослав;Федірович;Чоловік;16-08-1969;Інженер;селище Тальне;провулок Капітана Гаврікова, буд. 163 кв. 4, Городок, 13778;043 934 72 20;venedyktumanets@example.net
Нестайко;Максим;Онисимович;Чоловік;31-07-2007;Сантехнік;село Берестечко;провулок Лузанівка, буд. 690 кв. 4, Кременець, 06990;318-74-23;erika20@example.org
Артюшенко;Сніжана;Альбертівна;Жінка;20-02-1960;Електрик;селище Балаклія;проспект 14-та ст. Великого Фонтану пляж, буд. 862, Івано-Франківськ, 49314;011 862 53 66;qiushchenko@example.org
Приходько;Нестор;Хомович;Чоловік;01-08-1955;Дизайнер;село Калинівка ;вулиця Кришталевий, буд. 0 кв. 2, Ізмаїл, 62751;096 166-14-87;zprytula@example.org
Чекалюк;Владислав;Вадимович;Чоловік;05-02-1975;Бухгалтер;селище Бахмут;провулок Лінія 45-та, буд. 9 кв. 062, Чортків, 39552;865 74 16;vbabiak@example.org
Юхименко;Ліза;Яківівна;Жінка;25-10-1951;Літературознавець;село Світловодськ;вулиця Гранатна, буд. 540 кв. 13, Карлівка, 60187;+380 85 610 34 41;venhrynovychiefrem@example.org
Рудько;Лесь;Миронович;Чоловік;27-02-1993;Модельєр;місто Миколаїв;провулок Андросовський, буд. 109 кв. 2, Євпаторія, 43220;+380 68 827 11 15;oleksandr78@example.net
Мазепа;Климент;Дмитрович;Чоловік;15-10-2004;Бізнесмен;хутір Червоносів;парк Оранжерейний, буд. 890 кв. 34, Рівне, 51677;050 69 36;alevtyn89@example.org
Ярош;Дмитро;Охрімович;Чоловік;17-05-1975;Соціолог;село Судова Вишня;вулиця Олександра Вронського, буд. 892, Вільногірськ, 25128;096 558 54 57;svitlana56@example.com
Кальченко;Амвросій;Кирилович;Чоловік;23-02-1976;Літературознавець;село Знам'янка;вулиця Тюльпанний, буд. 02, Остер , 97579;098 033-61-22;erikaandriishyn@example.net
Вакарчук;Галина;Вʼячеславівна;Жінка;21-07-1998;Редактор;село Миколаїв;вулиця Виноградна 2-га, буд. 53, Тернопіль, 28605;+380 93 803-91-99;vitalii32@example.org
Яременко;Лариса;Ростиславівна;Жінка;04-04-1986;Юрист;село Вишневе ;вулиця Єфімова, буд. 924, Прилуки, 32807;+380 08 734-31-31;ielysaveta52@example.net
Шиян;Еріка;Яремівна;Жінка;02-08-1981;Каскадер;село Узин;сквер Савранська, буд. 0, П'ятихатки, 66339;014 453-87-69;larysa61@example.org
Гавриш;Пилип;Опанасович;Чоловік;22-11-1973;Редактор;село Залізне;узвіз Керченська, буд. 461 кв. 488, Бобринець, 24502;099 792-73-69;nataliia78@example.org
Цушко;Віктор;Богодарович;Чоловік;24-05-1938;Єгер;хутір Гребінка;узвіз Петрашевського, буд. 9 кв. 033, Горлівка, 49071;+380 30 481-05-30;zarudnyiiefrem@example.net
Худобʼяк;Данило;Захарович;Чоловік;11-12-1998;Астронавт;місто Ізяслав;набережна Старокінний, буд. 6, Луцьк, 08204;040 186-80-76;ievdokymenkorozaliia@example.org
